species,gear_type,year,ocean,value
ALB,OTHER_A,2001,ATL,2085.21
YFT,PS,1999,PAC_W,201127.01
ALB,LL,1987,IND,15841.42
MLS,LL,1998,PAC_W,7109.91
SWO,OTHER_A,1981,ATL,4.00
SWO,LL,2000,PAC_W,20183.88
SKJ,TRAP,2002,ATL,0.50
ALB,PS,2002,PAC_E,30.90
YFT,LL,1958,ATL,27172.26
ALB,LL,1986,PAC_W,41716.29
MLS,LL,1989,ATL,1576.51
YFT,LL,2003,PAC_E,19615.13
BET,PS,1994,ATL,27139.93
SKJ,BB,1985,ATL,34739.82
BET,LL,1960,PAC_E,17544.78
SWO,LL,1982,PAC_E,2576.31
BUM,LL,1990,PAC_W,10003.71
BET,LL,1997,IND,63757.08
BET,OTHER_I,1994,IND,2.87
BET,LL,1985,PAC_W,56975.59
BET,PS,1966,PAC_E,210.20
SBF,LL,1999,PAC_W,3000.75
BIL,LL,1972,PAC_E,1.89
BET,LL,2003,PAC_E,55481.93
SKJ,OTHER_I,1991,IND,567.64
SWO,LL,1980,IND,2192.66
YFT,LL,1960,PAC_E,5874.61
YFT,PS,1994,ATL,99652.09
YFT,BB,1979,PAC_E,3907.60
YFT,BB,1972,IND,2516.96
BET,LL,1958,ATL,453.61
BET,BB,1965,ATL,6091.68
ALB,PS,1995,ATL,278.13
ALB,LL,1990,ATL,24119.90
BUM,LL,1986,ATL,1097.54
BET,PS,1984,PAC_E,8720.80
BET,PS,1999,PAC_W,34769.44
BLM,LL,1988,IND,764.29
SKJ,BB,1988,PAC_E,4183.37
SWO,LL,1968,IND,2323.17
BET,BB,1981,ATL,8910.02
ALB,LL,1958,IND,6283.02
MLS,LL,1978,ATL,528.53
SWO,LL,1974,ATL,2905.32
SWO,LL,1993,PAC_E,3102.99
SSP,LL,2004,PAC_E,213.08
BET,PS,1995,IND,27078.00
BET,LL,1990,IND,29002.97
YFT,LL,1987,ATL,13861.19
BFT,PS,1969,ATL,1116.40
SKJ,OTHER_I,1980,IND,477.02
SWO,LL,1991,IND,5622.36
SKJ,LL,1963,PAC_E,179.50
BET,PS,2001,PAC_W,26882.27
BLM,LL,1986,PAC_E,276.86
SBF,LL,1995,IND,3821.85
BET,BB,1992,PAC_W,1755.18
ALB,LL,1997,ATL,23584.93
SWO,LL,1962,PAC_E,941.94
SKJ,BB,1986,IND,45652.18
SWO,LL,1970,PAC_W,7564.17
SBF,LL,2001,PAC_W,2371.83
BFT,LL,1979,PAC_E,1.99
SKJ,BB,1987,PAC_W,260491.23
YFT,GILL,1995,IND,19006.00
BET,LL,1987,ATL,26562.29
SWO,LL,1996,PAC_E,3336.38
ALB,OTHER_A,1999,ATL,16.04
YFT,PS,2001,PAC_W,212635.95
BUM,OTHER_A,1994,ATL,504.16
BLM,LL,1976,IND,288.36
YFT,LL,1990,IND,37858.98
YFT,PS,1995,IND,130557.80
YFT,BB,1981,ATL,7536.01
ALB,BB,1972,ATL,433.60
SBF,GILL,1990,IND,14.97
BFT,PS,1983,PAC_E,836.05
BFT,PS,1973,PAC_E,10764.05
ALB,PS,1994,IND,2576.55
BUM,LL,1985,IND,4636.35
SWO,LL,1977,PAC_E,4253.11
SFA,LL,1975,PAC_E,551.84
BFT,LL,1965,ATL,9552.73
SKJ,PS,1980,ATL,51633.58
BUM,LL,1997,PAC_W,12635.90
MLS,LL,1963,IND,1458.32
YFT,BB,1992,PAC_W,14638.93
SKJ,OTHER_A,2000,ATL,27.98
SKJ,PS,1999,ATL,68672.72
BUM,LL,1992,IND,4047.67
BET,PS,1969,ATL,1401.18
BIL,LL,2003,IND,0.26
YFT,PS,1973,PAC_E,191895.30
YFT,PS,1983,PAC_E,81324.77
YFT,BB,1997,IND,12116.46
YFT,BB,1985,PAC_W,17545.88
BFT,BB,1981,ATL,522.34
YFT,LL,1965,ATL,37128.91
ALB,OTHER_A,1980,ATL,264.01
BUM,LL,1978,PAC_E,1509.93
YFT,BB,2003,PAC_E,465.98
YFT,PS,1991,PAC_W,211175.45
BET,LL,1979,PAC_E,53258.08
SBF,LL,1969,ATL,707.48
ALB,PS,2000,ATL,191.42
BFT,TRAP,1996,ATL,14.95
BET,LL,1972,IND,13843.00
ALB,BB,1986,PAC_W,16031.72
BUM,LL,1959,ATL,841.00
SKJ,PS,1994,PAC_W,743980.23
BET,BB,1985,PAC_W,4336.93
BET,PS,1983,PAC_E,4256.21
BET,PS,1973,PAC_E,3291.75
BLM,LL,1998,PAC_W,1468.81
SBF,LL,1968,PAC_W,14101.62
SKJ,PS,1964,PAC_E,49659.42
YFT,PS,1969,ATL,37956.05
BFT,LL,1987,ATL,2472.30
SSP,LL,2002,PAC_E,265.34
SBF,LL,1991,PAC_W,3624.50
YFT,LL,1979,PAC_E,10490.91
YFT,OTHER_A,1974,ATL,21.93
ALB,LL,1981,IND,14455.97
SWO,LL,1995,PAC_W,15498.10
YFT,LL,1972,IND,19792.39
BET,PS,1991,PAC_W,12640.33
SWO,OTHER_A,1987,ATL,10.57
SBF,LL,1970,IND,27717.84
SWO,LL,2001,IND,21861.09
ALB,LL,1959,PAC_W,26339.63
SKJ,OTHER_I,1999,IND,6.49
